"Object","Close_Approach_CA_Date","CA_Distance_Nominal_km","CA_Distance_Minimum_km","V_relative_km/s","V_infinity_km/s","H_mag","Diameter","Rarity"
"(2018 NW)","2023-Jul-10 05:48 ± 6_03:03","6911472","110199","21.82","21.81","27.8","7.3 m -   16 m","0"
"(2023 LN1)","2023-Jul-10 15:03 ± < 00:01","6860773","6842002","5.79","5.78","23.8","47 m -  100 m","0"
"(2023 MD2)","2023-Jul-11 05:55 ± < 00:01","2141315","2141137","8.43","8.41","24.4","36 m -   80 m","1"
"(2023 NE)","2023-Jul-11 06:30 ± < 00:01","4333510","4325533","11.99","11.98","24.6","32 m -   71 m","0"
"(2023 MQ1)","2023-Jul-11 16:44 ± < 00:01","4120267","4095742","5.98","5.96","24.4","36 m -   80 m","0"
"(2018 UY)","2023-Jul-12 15:58 ± < 00:01","2849077","2848998","16.38","16.37","20.8","180 m -  410 m","2"
"(2023 MG6)","2023-Jul-16 21:38 ±    00:36","3635722","3573508","12.37","12.36","20.5","220 m -  480 m","2"
"(2020 UQ3)","2023-Jul-18 15:32 ± < 00:01","1215958","1215938","9.27","9.24","23.9","45 m -  100 m","1"
"(2022 GX2)","2023-Jul-20 05:56 ±    03:58","4575960","4448863","9.39","9.38","29.3","3.6 m -  8.1 m","0"
"(2020 OM)","2023-Jul-20 17:17 ± 1_22:09","3244856","3057689","9.48","9.47","27.0","11 m -   24 m","0"
"(2023 MX5)","2023-Jul-21 14:57 ±    00:06","4566727","4529687","11.82","11.82","23.8","47 m -  110 m","0"
"(2023 MM3)","2023-Jul-22 14:58 ± < 00:01","7316862","7309099","6.38","6.37","24.5","34 m -   75 m","0"
"(2015 MA54)","2023-Jul-24 10:30 ± 9_18:54","6374253","6282418","9.20","9.20","25.3","23 m -   52 m","0"
"(2023 NM)","2023-Jul-25 21:47 ±    12:46","543644","537454","0.93","-NaN","29.6","3.2 m -  7.1 m","0"
"(2018 BG5)","2023-Jul-27 17:46 ± 2_09:14","4115795","4008666","8.35","8.34","24.0","42 m -   94 m","0"
"(2020 PP1)","2023-Jul-29 18:08 ± < 00:01","6526546","6526525","4.07","4.05","26.6","12 m -   28 m","0"
"(2021 BD3)","2023-Jul-30 14:38 ±    09:51","5355669","4324843","8.50","8.49","25.7","19 m -   42 m","0"
"(2016 AW65)","2023-Jul-31 19:29 ±    09:38","6373940","5157224","5.71","5.70","24.1","40 m -   90 m","0"
"(2020 PN1)","2023-Aug-03 13:02 ± < 00:01","4152623","4152609","4.84","4.82","25.4","22 m -   48 m","0"
"620082 (2014 QL433)","2023-Aug-04 10:05 ± < 00:01","5348761","5348675","20.62","20.62","19.9","280 m -  630 m","1"
"(2004 KG1)","2023-Aug-06 22:31 ± 1_10:53","7161914","5364398","9.19","9.18","24.1","40 m -   90 m","0"
"(2022 BS2)","2023-Aug-11 20:11 ±    05:05","6632441","6255898","8.22","8.21","25.4","23 m -   51 m","0"
"(2022 CP1)","2023-Aug-17 07:27 ±    02:25","5270434","5041762","9.82","9.81","27.4","9.0 m -   20 m","0"
"(2011 QJ21)","2023-Aug-19 09:40 ± 5_07:17","4961411","4817842","15.05","15.05","24.5","33 m -   75 m","0"
"6037 (1988 EG)","2023-Aug-23 08:19 ± < 00:01","6081504","6081467","14.25","14.25","19.0","420 m -  940 m","2"
"(2012 PZ17)","2023-Aug-30 21:46 ± 2_22:04","6432708","5559291","3.58","3.56","26.7","12 m -   27 m","0"
"(2017 BY32)","2023-Sep-02 01:50 ± 3_05:16","6293685","5313847","3.46","3.44","26.3","15 m -   33 m","0"
"(2021 JA5)","2023-Sep-06 21:32 ± 7_13:03","5108308","5069073","10.85","10.85","26.4","14 m -   31 m","0"
"(2020 GE)","2023-Sep-08 12:56 ±    00:13","5724277","5723578","1.45","1.40","28.2","6.2 m -   14 m","0"
"(2020 RT2)","2023-Sep-12 06:29 ± 1_07:53","4209910","1929057","10.03","10.02","28.2","6.0 m -   13 m","0"
"(2016 LY48)","2023-Sep-16 08:31 ± < 00:01","1926153","1926037","10.83","10.81","22.8","75 m -  170 m","1"
"(2010 TE)","2023-Sep-16 20:31 ± 3_01:18","2585423","2502027","5.96","5.93","26.0","17 m -   38 m","0"
"(2019 SF6)","2023-Sep-26 18:54 ± < 00:01","6402289","6402174","8.61","8.61","26.2","15 m -   34 m","0"
"(2013 TG6)","2023-Sep-28 21:33 ±    16:34","1366197","1338697","4.15","4.08","26.6","13 m -   28 m","0"
"(2009 UG)","2023-Sep-30 13:26 ± < 00:01","2349189","2349144","9.00","8.99","23.3","58 m -  130 m","1"
"(2023 NM)","2023-Oct-03 13:14 ± 1_10:36","298820","270568","1.46","-NaN","29.6","3.2 m -  7.1 m","0"
"349507 (2008 QY)","2023-Oct-03 20:39 ± < 00:01","6324888","6324810","20.96","20.96","18.6","520 m -  1.2 km","2"
"(2022 TD)","2023-Oct-07 00:17 ±    00:33","3416124","3278893","9.40","9.39","27.8","7.4 m -   17 m","0"
"(2018 ER1)","2023-Oct-08 14:00 ±    00:42","4794135","4734060","5.29","5.28","25.6","20 m -   45 m","0"
"(2022 UX1)","2023-Oct-11 13:53 ±    04:47","1198605","736517","8.58","8.54","28.0","6.7 m -   15 m","0"
"(2015 KW120)","2023-Oct-12 02:52 ±    00:55","6971552","6958581","13.04","13.03","26.0","17 m -   38 m","0"
"(2021 NT14)","2023-Oct-13 17:10 ± < 00:01","7126363","7126284","8.58","8.57","20.8","190 m -  420 m","1"
"(2011 GA)","2023-Oct-15 07:09 ± < 00:01","2607851","2605855","16.59","16.59","20.9","170 m -  390 m","2"
"(2007 SQ6)","2023-Oct-15 23:26 ± < 00:01","7414680","7414226","6.45","6.45","22.1","100 m -  220 m","0"
"(2019 UZ3)","2023-Oct-16 13:53 ± 7_11:48","3674854","2690376","8.31","8.30","27.0","11 m -   24 m","0"
"(1998 HH49)","2023-Oct-17 00:33 ± < 00:01","1173407","1172935","14.79","14.76","21.3","140 m -  320 m","2"
"(2022 UO10)","2023-Oct-19 00:38 ±    02:42","2968401","2657165","9.77","9.75","26.8","12 m -   26 m","0"
"(2020 UR)","2023-Oct-20 03:58 ± 5_17:43","2230663","1362641","12.91","12.90","27.9","7.0 m -   16 m","0"
"(2020 FM6)","2023-Oct-23 14:45 ±    10:46","5922445","4769518","15.86","15.86","21.9","110 m -  250 m","1"
"(2019 HH4)","2023-Oct-24 10:46 ± < 00:01","5079918","5079688","20.02","20.01","20.0","270 m -  590 m","1"
"(2021 SZ4)","2023-Oct-26 05:59 ±    00:47","5349020","5346392","29.96","29.95","20.5","220 m -  480 m","1"
"302169 (2001 TD45)","2023-Oct-26 23:00 ± < 00:01","4874499","4874458","25.68","25.68","19.9","280 m -  630 m","1"
"525229 (2004 UU1)","2023-Oct-30 10:41 ± < 00:01","4076983","4076951","17.43","17.42","21.3","150 m -  330 m","1"
"(2013 UV3)","2023-Nov-01 11:12 ± 8_20:54","5622919","215298","15.43","15.43","26.8","12 m -   26 m","0"
"(2016 WY)","2023-Nov-02 10:58 ± 1_01:57","3478017","2870404","3.94","3.91","29.2","3.8 m -  8.6 m","0"
"363505 (2003 UC20)","2023-Nov-02 15:49 ± < 00:01","5252523","5252494","7.97","7.96","18.5","1.876±0.037 km","2"
"(2022 JF)","2023-Nov-03 05:38 ±    11:03","5807351","3541580","17.15","17.15","24.8","30 m -   66 m","0"
"(2016 VW2)","2023-Nov-03 22:53 ± 7_08:46","3862131","3662337","8.10","8.09","26.3","15 m -   33 m","0"
"(2019 UH7)","2023-Nov-04 00:29 ± < 00:01","3808112","3807883","5.94","5.92","27.5","8.6 m -   19 m","0"
"(2014 BA3)","2023-Nov-13 15:24 ± 1_11:30","6006201","5678927","2.72","2.69","28.2","6.1 m -   14 m","0"
